Altium Designer Pick and Place Locations
C:\Users\design.PCBPLANET\Desktop\397881-L\Project\Project Outputs for 397881-L\Pick Place for 397881-L.csv

========================================================================================================================
File Design Information:

Date:       25-06-19
Time:       17:05
Revision:   0
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"J15","Conn_JST_PH","BottomLayer","J2,J10,J11,J15","60.580","7.050","0","Header, 2-Pin"
"U7","BL8530","TopLayer","U7","72.600","30.325","90",""
"U6","AP2112-3.3_LDO","TopLayer","U6","57.225","16.700","360",""
"U5","ESP-WROOM-32","TopLayer","U5","42.190","23.705","0",""
"U4","DW01A","TopLayer","U4","24.425","20.200","270",""
"U3","FS8205A","TopLayer","U3","24.150","12.300","360",""
"U2","HX711IC","TopLayer","U2","21.625","32.125","360",""
"U1","TP4056IC","TopLayer","U1","11.173","20.269","360",""
"R22","Res1","TopLayer","R0603","62.200","15.300","180","Resistor"
"R21","Res1","TopLayer","R0603","62.200","19.925","360","Resistor"
"R20","Res1","TopLayer","R0603","2.350","11.075","180","Resistor"
"R19","Res1","TopLayer","R0603","2.350","13.100","360","Resistor"
"R18","Res1","TopLayer","R0603","2.350","15.125","180","Resistor"
"R17","Res1","TopLayer","R0603","30.525","25.410","270","Resistor"
"R16","Res1","TopLayer","R0603","28.850","25.410","270","Resistor"
"R15","Res1","TopLayer","R0603","27.175","25.410","90","Resistor"
"R14","Res1","TopLayer","R0603","69.400","23.320","180","Resistor"
"R13","Res1","TopLayer","R0603","69.400","19.900","180","Resistor"
"R12","Res1","TopLayer","R0603","69.400","16.475","180","Resistor"
"R11","Res1","TopLayer","R0603","62.200","22.950","360","Resistor"
"R10","Res1","TopLayer","R0603","27.325","16.900","180","Resistor"
"R9","Res1","TopLayer","R0603","23.875","16.900","180","Resistor"
"R8","Res1","TopLayer","R0603","5.998","21.604","90","Resistor"
"R7","Res1","TopLayer","R0603","30.200","29.220","270","Resistor"
"R6","Res1","TopLayer","R0603","12.500","28.200","180","Resistor"
"R5","Res1","TopLayer","R0603","12.500","26.700","180","Resistor"
"R4","Res1","TopLayer","R0603","13.925","31.325","360","Resistor"
"R3","Res1","TopLayer","R0603","13.925","32.750","180","Resistor"
"R2","Res1","TopLayer","R0603","17.173","20.919","360","Resistor"
"R1","Res1","TopLayer","R0603","17.223","19.419","360","Resistor"
"Q1","S8550","TopLayer","Q1","13.825","36.250","90","PNP Bipolar Transistor"
"L1","Inductor Iron","TopLayer","L1","80.100","31.325","270","Magnetic-Core Inductor"
"J14","LED_Conn_2.54mm","TopLayer","J4,J5,J12,J13,J14","74.725","16.475","360","Header, 2-Pin"
"J13","LED_Conn_2.54mm","TopLayer","J4,J5,J12,J13,J14","74.725","19.900","360","Header, 2-Pin"
"J12","LED_Conn_2.54mm","TopLayer","J4,J5,J12,J13,J14","74.725","23.325","360","Header, 2-Pin"
"J11","Conn_JST_PH","BottomLayer","J2,J10,J11,J15","34.540","7.050","0","Header, 2-Pin"
"J10","Conn_JST_PH","BottomLayer","J2,J10,J11,J15","71.150","7.050","0","Header, 2-Pin"
"J9","Conn_01X06_Female_2.54mm","TopLayer","J9","56.200","31.425","270","Header, 6-Pin"
"J8","Conn_01X10_Female_2.54mm","TopLayer","J8","88.400","20.050","270","Header, 6-Pin"
"J7","Conn_01X08_Female_2.54mm","TopLayer","J7","84.475","17.510","90","Header, 6-Pin"
"J5","LED_Conn_2.54mm","TopLayer","J4,J5,J12,J13,J14","15.400","13.900","180","Header, 2-Pin"
"J4","LED_Conn_2.54mm","TopLayer","J4,J5,J12,J13,J14","8.600","13.900","180","Header, 2-Pin"
"J3","Conn_01X05_Female_2.54mm","TopLayer","J3","1.750","25.350","270","Header, 6-Pin"
"J2","Conn_JST_PH","BottomLayer","J2,J10,J11,J15","24.470","7.050","0","Header, 2-Pin"
"J1","Conn_JST_PH4","BottomLayer","J1","12.800","7.050","0","Header, 5-Pin"
"D1","SS14","TopLayer","D1","72.575","36.000","180","Schottky Diode"
"C14","Cap Pol1","TopLayer","C14","63.250","32.950","270","Polarized Capacitor (Radial)"
"C13","Cap","TopLayer","C0603","62.150","17.662","360","Capacitor"
"C12","Cap","TopLayer","C0603","57.975","13.350","360","Capacitor"
"C11","Cap","TopLayer","C0603","57.050","19.975","180","Capacitor"
"C10","Cap","TopLayer","C0603","20.350","16.900","180","Capacitor"
"C9","Cap","TopLayer","C0603","28.275","20.800","270","Capacitor"
"C8","Cap","TopLayer","C0603","30.250","32.325","270","Capacitor"
"C7","Cap","TopLayer","C0603","28.575","32.325","270","Capacitor"
"C6","Cap","TopLayer","C0603","28.575","29.170","90","Capacitor"
"C5","Cap","TopLayer","C0603","14.825","27.450","90","Capacitor"
"C4","Cap","TopLayer","C0603","5.998","18.675","270","Capacitor"
"C3","Cap","TopLayer","C0603","18.025","38.800","360","Capacitor"
"C2","Cap","TopLayer","C0603","14.025","29.725","180","Capacitor"
"C1","Cap","TopLayer","C0603","11.375","32.000","90","Capacitor"
"J6","Conn_JST_PH","BottomLayer","J6","47.510","7.050","0","Header, 5-Pin"
